setid,Temperature (K),Pressure (kPa),Wavelength (nm),Refractive index (Na D-line),reference,phases,IL_ID,IL_SMILES,IL_name,IL_cation_SMILES,IL_anion_SMILES,IL_component_number,Record_ID,Contains_Metal,Standardized_IL_SMILES,Changes
uvBYJ,313.15,100.0,589.6,1.4077,Arosa et al. (2018),Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2,11,False,CC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
uvBYJ,318.15,100.0,589.6,1.4065,Arosa et al. (2018),Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2,12,False,CC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
uvBYJ,323.15,100.0,589.6,1.4051,Arosa et al. (2018),Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2,13,False,CC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
soYAr,298.15,100.0,589.6,1.4176,Arosa et al. (2018),Liquid,AAonnS,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-propyl-3-methylimidazolium tetrafluoroborate,CCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,14,False,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
soYAr,303.15,100.0,589.6,1.4161,Arosa et al. (2018),Liquid,AAonnS,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-propyl-3-methylimidazolium tetrafluoroborate,CCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,15,False,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
soYAr,308.15,100.0,589.6,1.4149,Arosa et al. (2018),Liquid,AAonnS,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-propyl-3-methylimidazolium tetrafluoroborate,CCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,16,False,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
soYAr,313.15,100.0,589.6,1.4135,Arosa et al. (2018),Liquid,AAonnS,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-propyl-3-methylimidazolium tetrafluoroborate,CCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,17,False,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
soYAr,318.15,100.0,589.6,1.4122,Arosa et al. (2018),Liquid,AAonnS,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-propyl-3-methylimidazolium tetrafluoroborate,CCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,18,False,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
soYAr,323.15,100.0,589.6,1.4109,Arosa et al. (2018),Liquid,AAonnS,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-propyl-3-methylimidazolium tetrafluoroborate,CCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,19,False,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
xNCST,298.15,100.0,589.6,1.4215,Arosa et al. (2018),Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,20,False,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
xNCST,303.15,100.0,589.6,1.42,Arosa et al. (2018),Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,21,False,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
xNCST,308.15,100.0,589.6,1.4186,Arosa et al. (2018),Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,22,False,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
xNCST,313.15,100.0,589.6,1.4173,Arosa et al. (2018),Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,23,False,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
xNCST,318.15,100.0,589.6,1.416,Arosa et al. (2018),Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,24,False,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
xNCST,323.15,100.0,589.6,1.4146,Arosa et al. (2018),Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,25,False,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
UzdgW,298.15,100.0,589.6,1.4276,Arosa et al. (2018),Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,26,False,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
UzdgW,303.15,100.0,589.6,1.4263,Arosa et al. (2018),Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,27,False,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
UzdgW,308.15,100.0,589.6,1.4249,Arosa et al. (2018),Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,28,False,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
UzdgW,313.15,100.0,589.6,1.4235,Arosa et al. (2018),Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,29,False,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
UzdgW,318.15,100.0,589.6,1.4221,Arosa et al. (2018),Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,30,False,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
UzdgW,323.15,100.0,589.6,1.4207,Arosa et al. (2018),Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,2,31,False,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
dUWfL,298.15,100.0,589.6,1.4226,Arosa et al. (2018),Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,32,False,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
dUWfL,303.15,100.0,589.6,1.4212,Arosa et al. (2018),Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,33,False,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
dUWfL,308.15,100.0,589.6,1.4199,Arosa et al. (2018),Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,34,False,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
dUWfL,313.15,100.0,589.6,1.4183,Arosa et al. (2018),Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,35,False,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
dUWfL,318.15,100.0,589.6,1.4167,Arosa et al. (2018),Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,36,False,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
dUWfL,323.15,100.0,589.6,1.4152,Arosa et al. (2018),Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,37,False,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
vmDEL,298.15,100.0,589.6,1.4328,Arosa et al. (2018),Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,38,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
vmDEL,303.15,100.0,589.6,1.4315,Arosa et al. (2018),Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,39,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
vmDEL,308.15,100.0,589.6,1.4301,Arosa et al. (2018),Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,40,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
vmDEL,313.15,100.0,589.6,1.4285,Arosa et al. (2018),Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,41,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
vmDEL,318.15,100.0,589.6,1.4272,Arosa et al. (2018),Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,42,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
vmDEL,323.15,100.0,589.6,1.4257,Arosa et al. (2018),Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,43,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
AbMQi,298.15,100.0,589.6,1.4265,Arosa et al. (2018),Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,44,False,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
AbMQi,303.15,100.0,589.6,1.425,Arosa et al. (2018),Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,45,False,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
AbMQi,308.15,100.0,589.6,1.4234,Arosa et al. (2018),Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,46,False,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
AbMQi,313.15,100.0,589.6,1.4219,Arosa et al. (2018),Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,47,False,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
AbMQi,318.15,100.0,589.6,1.4204,Arosa et al. (2018),Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,48,False,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
AbMQi,323.15,100.0,589.6,1.4188,Arosa et al. (2018),Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,49,False,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
xXPkA,298.15,100.0,589.6,1.4293,Arosa et al. (2018),Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,50,False,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
xXPkA,303.15,100.0,589.6,1.4279,Arosa et al. (2018),Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,51,False,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
xXPkA,308.15,100.0,589.6,1.4263,Arosa et al. (2018),Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,52,False,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
xXPkA,313.15,100.0,589.6,1.4249,Arosa et al. (2018),Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,53,False,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
xXPkA,318.15,100.0,589.6,1.4233,Arosa et al. (2018),Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,54,False,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
xXPkA,323.15,100.0,589.6,1.4217,Arosa et al. (2018),Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,55,False,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
zpJYj,298.15,100.0,589.6,1.4339,Arosa et al. (2018),Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,56,False,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
zpJYj,303.15,100.0,589.6,1.4326,Arosa et al. (2018),Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,57,False,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
zpJYj,308.15,100.0,589.6,1.4311,Arosa et al. (2018),Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,58,False,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
zpJYj,313.15,100.0,589.6,1.4297,Arosa et al. (2018),Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,59,False,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
zpJYj,318.15,100.0,589.6,1.4283,Arosa et al. (2018),Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,60,False,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
zpJYj,323.15,100.0,589.6,1.4269,Arosa et al. (2018),Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,61,False,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
ruvut,298.15,100.0,589.6,1.4373,Arosa et al. (2018),Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,62,False,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
ruvut,303.15,100.0,589.6,1.4358,Arosa et al. (2018),Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,63,False,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
ruvut,308.15,100.0,589.6,1.4343,Arosa et al. (2018),Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,64,False,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
ruvut,313.15,100.0,589.6,1.433,Arosa et al. (2018),Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,65,False,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
ruvut,318.15,100.0,589.6,1.4316,Arosa et al. (2018),Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,66,False,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
ruvut,323.15,100.0,589.6,1.4303,Arosa et al. (2018),Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,2,67,False,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,No changes
YWsvA,298.15,100.0,589.6,1.4247,Arosa et al. (2018),Liquid,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,68,False,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,No changes
